MD STEP=    9995
 -5.0699E-01 <===xLogS (a.u.)
 -1.2308E-05 <===vLogS (a.u.)
ION VELOCITIES (a.u.):
    6.6492E-04   -2.7353E-04   -8.2065E-04
    9.3465E-05   -1.9926E-04   -3.1263E-04
   -1.5481E-04   -3.4403E-04    9.8155E-05
   -4.2926E-04   -2.2936E-04    7.4306E-05
    1.3637E-04   -3.6172E-04    2.4179E-04
   -3.3928E-04    5.6012E-05    3.4838E-04
    5.0741E-04   -1.2969E-05    7.6303E-04
   -1.3700E-04   -1.7655E-04   -6.8098E-04
    6.8621E-04    3.7953E-04    6.3128E-04
    1.1231E-04   -3.8127E-04    2.3919E-04
   -4.3378E-04    1.2472E-04    1.0070E-04
